creator_name,userid,comment
StormyStrikesChannel,269272,Spirit is actually Spirit and Rains son. In the official trailer this woman said it so thats the reason why Spirit son of Spirit got this blaze in his face. But I dont really like the series. I think a second movie were even better then a series
prehistoricpetstv,1907703,can you do updates on the little kinked one
MonkeyBoo,866177,This is boo 🐵 each like he gets he gets more love
John Simkins,2135812,Loved her she was my favourite. Glad she finished in 6th place
Ricky Kenerly Cichlids,1682191,hi Ricky. i hope you git read of the stains if not you can try white viniger with water. i am not having a good time with my frontosas they are falling like flies and I dont know what to do about it. its really depressing
Viktor Larkhill,154134,Whom ever left this animal in this condition needs there ass whooped tied to a red ant nest and left for good. To you who did this you are a no count MF.....
Emily Rios,2473006,are you brazilian? ksksks
Taylor Nicole Dean,1744459,Everyone is talking about hermit crabs and then theres me that cant stop laughing about the beginning lol
Happy Tails,415031,Love this
,2345866,its killing me to wait for these reactions! i keep checking your channel hoping youtube forgot to notify me 😭
HammyLux,846534,Are you only doing weekly vlog or will you still do other videos during the week too? Also I love your channel and you give me so much confidence with my new hamster!<3Thank You Pam
Brian Barczyk,608582,7:03: he still has a long way to go....henesudb
Talking Kitty Cat,204041,How old is Sylvester
Brave Wilderness,2445478,Why...?
Sad Cat,2331314,Bull dog seems to be most intelligent breed.
The Dodo,866521,mother fuckers Chinese the eat 🐶 dogs
The Dodo,1309133,Fake.They plucked the feathers so this bird can go viral.My bird has no feather and only one eye but youtube will pull it if I uploaded it.
Brave Wilderness,837958,Blood-worming on the coast of Mai- *OH I GOT ONE!*
Brave Wilderness,1320621,let him bite u
Brave Wilderness,754261,Hey Coyote! My two daughters can’t wait for your new episodes. They love to play “Coyote Peterson” in our backyard. One is you and the other is the “Coyote R U Ok?” Camera crew. They film small videos around our yard mostly finding bugs and describing them. The best they ever found was two turtles. I think they would love to take turns using the backpack when they play “Coyote Peterson”! They may not get to use it for grand adventures but I think it would be worth it to see them wearing it in their little videos. Thanks always for the fun videos for the kids. I know I can trust them on your channel. Be Brave! Stay Wild!
Hope For Paws - Official Rescue Channel,1495766,God bless you  <3
Taylor Nicole Dean,1866717,Iv been sick my family has been sick and all my friends
꼬부기아빠 My Pet Diary,2454581,저런거 자동으로 돼는 화장실은 무서워하는 애기들도 있다네요:)조심히써야 할거 같다는...
Think Like A Horse,629986,this is so usefull!!!!
Hope For Paws - Official Rescue Channel,2112269,They’re so adorable
E511,569476,Who else gives there cat bottled water??❤️🙋🏻
Think Like A Horse,1983282,I hope u understand not all girls are like  this with horses. I am a girl and  I ride and I am 13 and I dont do stuff like that to my boys
Doug The Pug,1609682,Pure beauty...
Brave Wilderness,513960,coyote please calm down jesus christ
The Dodo,1327527,you need a heart of lion to do this
Brave Wilderness,2131977,what was the song on the old radio 😭😭😭
Brave Wilderness,1303137,Im sorry but the thumbnail is disgusting
Brave Wilderness,2110318,i saw one of those at petco when i was deciding what to get for my new aquarium it wasnt a burrowing one though
Colorado Bigfoot,1328751,Dang and I thought the ones down here were big! The ones there have to be massive...more massive...extremely massive...grrrrr where did you say you were checking in?
ViralHog,2359815,Now thats your tax dollars at work! hopefully the cop was ok. damn he was hit hard!
MARLENE MCCOHEN,2156646,wow dont know how you held him like like respect
The Dodo,1546939,thanks for the human kindness
Robin Seplut,2260552,Just read some of the positive responses from Robin Seplut I am glad to read that she is doing much better now.  The reason I suggested about the vet was to be on the safe side.  I had cats and I was an attentive owner and worried about them all the time.  She is very pretty and gorgeous.
Brave Wilderness,2378026,The Secret Chapter is...idk 😢😭
Brave Wilderness,940240,3:16 *nervous laughter
Brave Wilderness,70205,👉👌
Taylor Nicole Dean,1785867,YES sooooooo much joy😁
Steff J,444334,Omg I love your videos!!!! Could you do a new all my pets vid cause you gotta lot of new pets lol
IUIC Boston,1296499,VERY humble spirit!
DarkDynastyK9s,2290785,Youre such a monsteeeer how can you not pet them when they look straight into the camera with that cute goofy face 😛😍
Taylor Nicole Dean,1175988,Why would someone complain that youre training Kida (sp?) as a service dog? I saw the vid that you got her for your anxiety (Or did i misunderstand that vid?). Where exactly do people think these service dogs come form? They are trained. Or are they against service dogs in general?
Bluejayartist,105048,This came out on my birthday!
Keedes channel LIVE,470950,Назовите её потеряшка
The Dodo,1572176,No treat??!!!😕
Floppycats.com,1968054,Heres our review video - you can see that other cats really like it - https://youtu.be/HVD-u_Obv1w
Kamp Kenan,323732,very cool enjoyed
AcuaTV,1807333,Genial el proyecto. Felicidades! Como consejo vigila el tipo de lastre que tiene ese filtro de esponja. Pues algunos tienen piezas de acero o hierro dentro que se oxida y puede llegar a contaminar el agua!
Team Sullivan,75341,Happy Birthday Tamdin!
Tilikum16,1654471,Yeah 💯 when r u gonna do another Dine With Shamu SWT video ?
Royal Kennels,1966206,Brian As a past professional handler heres my advice.Take her in the show ring. That is how you will know if she is Champion caliber. You will also get many experienced opinions. Can only be an asset to you and your program. Much Blessings to you and your Family.
Brave Wilderness,1433417,I feel so bad for your daughter she never gets too see you
Viktor Larkhill,1619772,Great news Viktor hope you feel better soon!
ViralHog,684106,Mental institutes need to take these types of people in and help them..
Zak Georges Dog Training rEvolution,188744,Great timing. We just adopted a puppy last week. We bought your book today!
ClassicTVMan1981X,2123084,Excellent! 👍 Merry Christmas! 😊
eMusic Talent,3992,Sempre me emociono
Brian Barczyk,377805,Awesome video👍👍👍👍👍👍👍👍👍👍👍👍👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👍👍👍👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍. 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
LightningLpsTV,764164,Ohhhhhh he cheating
Brian Barczyk,1835834,Hey Brian
Robin Seplut,2371927,If I went round sniffing my friends butt I would get punched !!!
Mr. Max T.V.,2539713,The Suicide Squad is deployed to retrieve Max!
foxalbiazul,1949075,Some people in the comments are too busy hating themselves to enjoy the video instead of trying to fix their insecurities by making fun of other people. Its pretty pathetic lol.
Blake Patterson,1887977,Great video!! A1000 is the best machine ever. Can you post info regarding the demos used in this video?
ViralHog,1647713,His handle is probably Dingo
Brave Wilderness,329500,i watched a video how a man ate a focil like this
Vet Ranch,1990573,He is so cute and good-natured.
Vet Ranch,1151857,Yes! More education for me! 😄
The Dodo,479268,good job saving the baby bear
The Dodo,986579,Who else loves rhinos???
Kyle Naegeli,1694232,Clocked off Jon.B to watch this 😂😂👊🏾👊🏾
EPIC ANIMALS,2507226,That Stupid Girl with the White Kitten is pissing me off! The kitten obviously want to put his/her head up and that girl keeps pushing the kitten down! Dumb girl!
Brave Wilderness,1866666,Hello coyote would like to win the pack and stuff because I all ways go on big long adventuress and I hardly have any stuff. Me and my family are doing a 67km walk soon and I would use it for that and much more
prehistoricpetstv,1495997,Loved them all. But that first one is awesome!!
Brave Wilderness,2357613,I watch this yet I have arachnophobia . Anyone else watching with arachnophobia?
Brave Wilderness,1449322,Wow did Coyote just tap out?!?! Im sitting away from that thing. You are one brave man even if you taped out.
Robin Seplut,1873598,i kucingnya lucu
Dino Master,777729,She made a video on me and then deleted it i dont know why she deleted it but I downloaded it before she deleted the video. ;) She asked me why I dont like her and I can for sure say I really dont like Parma The Indominus Rex.
SnakeHuntersTV,230892,Do your snakes inject venom?
Vet Ranch,1543282,Im so proud of what you guys do. Tomorrow ill start college im studying to become a vet ❤
The Test and Quiz Channel,215226,I got 28 points.I am goku
Coon Creek Outdoors,1847085,hey man i
The Dodo,564848,This nearly made me cry.. (Sad cats story makes me cry by the way)
CoralFish12g,1660327,I would be very lucky to win the 10 gallon tank because Ive been trying to get in to salt water for the past 2 years but fail every time with all these different factors but always perfect water and I think a tank with all in 1 filter would make sure I succeed keep your nitrates low!
Mạnh CFM,1803120,hãy khóc hết hôm nay thôi bạn ạ.ngày mai t lại mạnh mẽ
Talking Kitty Cat,1604932,i love talking kitty
Bulkreefsupply.com - Saltwater Aquarium Supplies,347239,I greatly value what your doing here.
Epic Wildlife,1672614,The moray eel?
HammyLux,1721557,This video made me giggle and put me in a good mood 😂 Liked before watching 💙💙 Your makeup 😍😍 And awww I hope u do get a new one but take your time!💙💙
Brian Barczyk,1166406,Snow cal king
Gnat Vova,2125018,Excelente lindas meu like
Kanyon,2117217,the fluffiest lawn mowers
Taylor Nicole Dean,1699190,Aww i hope they do breed so youll have a little herd of cows :) <3
Brian Barczyk,579566,Brian why you feed them baby hamsters. Answer me fast I got hamsters so you would feed my hamsters answer or I will unsub and unlike
HoppingHammy,736319,Why did you make it so big?
Rise Up Society Fan Page,1978266,mote after treatment videos would be nice
Brave Wilderness,738185,if u are a pokemon fan you will know that this looks like a kabtou
Robin Seplut,1296753,Hugs to you and kittes. Kitten is adorable. Mom kitty is beautiful. Love the tabbies.
The Dodo,194613,Oh lord .. Im dying for a corgi .. is it bad to get a 3rd dog ..
Zak Georges Dog Training rEvolution,886873,Hai!!
Brave Wilderness,155075,if a saw a fcking spider ill take my things go outside my house shut the door.. and nuke my fckin house!!! nuke em!!!
unicornoxtreme GT,200584,This is my combo for your next custom beyblade tournament Face: serpentClear wheel: Big bang (blue wing edition) Fusion wheel: RaySpin track: the lowest one (forgot what its called) Tip: rubber semi-flat Its beast as
Brave Wilderness,1742442,Im coyote peterson and Im about to enter the sting zone of a 9mm
SlideShow ForFun,820607,now that is a majestic beast hes gorgeous
Epic Wildlife,267747,Sit on my face
Brave Wilderness,1715032,Who here commented before they even watched the video
drthik1,1976312,I love rabbits but I mean its the circle of life! I love snakes too. I have a pet snake and she need fed too.
GoHerping,1101193,who got the tank?
Taylor Nicole Dean,2324708,By the time its 2018 i dont think youll have a room anymore 😂😂
Viktor Larkhill,960114,Thank you
Daniel Martel,1493570,saludos tarde pero  seguro
Brave Wilderness,1351688,Gosh I love how he is so educational!!
The Dodo,677694,Some people just are total dicks I believe things happen for a reason  she now has a loving home.
LightningLpsTV,2456828,Do more LPS Dare Squad! 😭😍✨
tutor4u,365839,very nice one
Cole & Marmalade,2282287,Marmalade has 9 letters9 divided by 3 is 3Triangle has 3 sidesMARM SAW THE ILLUMINATI
Gone to the Snow Dogs,446243,Sending hugs and prayers!  Poor puppy!  Feel better soon Memphis!
MaxluvsMya,1603700,Shes so cute!!!
My BB Bunny,283198,Quick catch it before it kill one of ur with cuteness
Gnat Vova,268350,In the top wonderful super of course!*163
Cole & Marmalade,2287182,I just got Kittens 👍
꼬부기아빠 My Pet Diary,292729,쵸비 돼지같애 ㅋㅋㅋㅋㅋㅋㅋ 귀여운 애기들 ㅜㅜ
Brave Wilderness,1390369,winston
꼬부기아빠 My Pet Diary,605888,아 저 털들사이에 얼굴 묻으면 얼마나 행복할까요 귀요미들 진짜 ㅜㅜ
Menthol Kratom,2055876,Do you want shit Kratom?  Do you want to wait a long time for it to arrive?  How about being fed a bunch of lies?  Well look no further - BOTANICAL KRATOM is or you!!!  Oh to really be treated like a douchebag ask for Brad or his supposed twin Bradley!!!  Act now!!!
Vet Ranch,2459089,Coral is so cute! Now to find a loving forever home soon. She has really grown!
Klem Reefing,1879671,Sorry for your loss. Maybe you stripped too much phosphate out of the tank once it happens it hard to bring it back quickly so your corals will die off.
The Hoover Boys,1105856,A bit deflating....another deflate gate...lol. Fun fun fun...your suspended for fist 4 hours next hunt
Gotcha The Cockatoo,1544584,THEYRE WATCHING UUUS! I almost shed a tear from laughter
Taylor Nicole Dean,434,I like the soinic ref
Brave Wilderness,1710892,I remember a banana spider at my family and I got to feed it I through Cricket sins web and I saw eat
Amethyst Is Cutie,839163,Concussion time by Fred from Scooby doo
Brave Wilderness,2026785,coyote is actually gordon ramsays descendant
2CAN.TV - Ripley the Toucan!,1171294,Sounds like some kinda dinosaur
Mạnh CFM,159158,anh làm clip c4 khẩu An94 đi anh
Waynes Fish World,2061842,Hi what are the plants on the left and right at 3:00 ? Thanks in advance!
The Dodo,2150654,Hurt really bad... Ouch my ears
Great Gatsby the Corgi,2170975,I watched so many of your vids that my recommended box is full of corgi now
Taylor Nicole Dean,375330,Where are cats?
Brave Wilderness,1583774,I watched all the videos this year
Brian Barczyk,128368,Im pretty sure everyone watches your vlogs because they love them not because of the click bait haha.    Those sunsets are amazing too
SoaR Katz,1641629,my vids are being disliked probably because i didnt pick up someones friend to tg can u imagine that
Brian Barczyk,333341,Brian Ive been watching you on YouTube for as long as I can remember Ive always been an advocate of you and your methods and the animal bytes tv days were the best when I was like 10 Im in college now and its just awesome to see you grow and advance. I love you and everything you stand for ❤❤
unicornoxtreme GT,1205337,UNICORNO sorry Im late but my bey will be burn sagatario c145wb
ÜNAL VLOG,1416432,Yavru kuşlar için mama yapma videosu çekermisin
5150TheBOB,1314671,🖒🖒🖒👤🇺🇸
rushapart,371948,ohhhHH MY GODDD IM LITERALLY CRYIN G RIGHT NOW AAA OMGGG QQTHANK YOU ALL SO MUCH??? I DOnT DESERVE YALL GOD THIS IS SO SWEET Im !!!!!! ANGEL2god its past 1 am rn so idk if ill be able to write much but-zira- thaT CUB ZIRA / RONNO MANIP !! thAT US !!!! i love how calm your part is its such a good intro and the manips are just !! QQ so adorable i loVE <33koda- goD i love how raw your part is - you really dont need much effects at all to make something look amazing alSO THAT MANIP IM SCREAMING i love your clip choice + how you hit every beat perfectly !!!jen- aahhhh your editing always has this amazing atmosphere and youre sOO GOOD AT MOVING MANIPS !!! THE ONE WITH LEMON FAMILY IS SO ADORABLE AND THE HU G IM //CRYINGCAT// I LO VE ITtessa- MY BOOOOYSS !! i love how you placed the clips and told a little story with them its so adorable and i love it so much !!! QwQ <333bune- I LOVE YOU AND YOUR PART (AND YOUR EDITING IN GENERAL) SO MUCH I FEEL SO BLESSED !!! the manips and the colors and your use of text is just pefect omg G <333emma- your part is so preCIOUS the scene of rikki you used is one of my favs honestly and im so happy you used iT !! and the manipS iM QQ <333 theyre so adorable im dea Dmystic- go d your editing just makes me feel so happY i love all the clips you used and the manipS OF RONNO AND ANGEL ARE PURE AND I LOVE THEMmichelle- aaAaAA I DIDNT EXPECT YOU TO BE HERE BUT IM SO HONORED YOU WERE OM G i love your part sm especially the coloring + the scene with lady and ronno its sO CUTE AAAsniff- DUCHESS CAUGHT ME OFF GUARD KJHBHJKHB on a serious note though GOD ive told you many times before but i Love your editing and it makes me so happY BLESS i love how you used rikki tikki too !!! <33dia- my lemon daughteR om g i love your part so much this part of the song is very slow and i imagine it mustve been hard to make it work but god you pulled it off pERFECTLY you made it so great and exciting !! QwQ also im cry in g i love you too you deserve The Bestest !lisa- DAUGHTER I LOVE THIS SM the overlay + clips match so wELL especially at the last do you wanna dance something abt the clip placement makes it so enjoyable to watch how do you achieve this magic??? im prouD //cryingcatjay- AWW GOD THE HAPPY BOYS... I LOVE the overlay coloring makes it look so cozy and warm QQ i didnt think youd be in this mep but i was sO happy you were im so glad!! <333corgi- iM SORRY YOURE LAST BUT I HAD TO TAKE A MOMENT TO HANDLE HOW MANY BEAUTIFUL PARTS YOU MADE FOR ME?? YOUR EDITING IS PERFECT AND SO ARE YOU YOU HAVE NO IDEA HOW MUCH I LOVE YOU HONESTLY <33 THANK YOU SO SO MUCH MY QUEEN PLATONIC YOURE THE BEST //CRYINGCATphEW i meant to write more but its almost 2 am now and ive been told to Go And Sleep about 4 times over the course of me writing this sO KJBHJ //eyes emoji//i love you all the most in the world and youre the best friends i couldve ever asked for. you all make me feel safe and loved and i couldnt thank you guys enough for all youve done for me and for all youve helped me with ;; <3 thank you so much for this wonderful gift and thank you for being there for me <3
Brave Wilderness,365373,First Clickbait that Ive seen by him ever
Brave Wilderness,1106966,Wax worms is what I feed my Bearded Dragons as a treat!
Keedes channel LIVE,2478636,А где кошка-мать с котятами ?
MARLENE MCCOHEN,586033,who is this george ?
Cole & Marmalade,2090378,My cat went missing 4 days ago do you guys or girls have some tips for me?
Brian Barczyk,1920182,Click bait
Amazing Life,2335771,nice
Taylor Nicole Dean,326005,Id fist you
Brave Wilderness,2046084,Yes Im early
Brave Wilderness,2022632,Wow he got stung alot
PETA (People for the Ethical Treatment of Animals),1667689,life would be better without humans.
Taylor Nicole Dean,2363019,Your brother is perfect just the way he is!
Brian Barczyk,366153,You should definitely get an Axolotl idk if you deal with anything in water but it would definitely be a great add on
Emily Rios,648017,Yes you look like liza
Taylor Nicole Dean,2450024,I am SO sorry! I am also wanting a hedgehog am very thankful you made this video. You are so strong to be able to still make this video. I wish I could help you! I hope you get through this.
Brave Wilderness,1949542,Coyote Statue FTW.  Its a great pick for the fans!
MonkeyBoo,181179,Cutest  monkey ever ... He looks damn cute while eating 😍😍😍🐒
Lennon The Bunny,2408531,Im a new sub this is a helpful video thanks 🦄🌸😊
NeSekret TV,635709,Золотая молодежь это не дебилына отцовских тачках...золотая молодежьэто те..кто своими делами доказывает...добро это совокупность любящих сердец с полной отдачейдля тех кто в нем нуждаетсяизвините за пафос!
Brian Barczyk,2194627,They can have twins cant they
ERB2,1619949,Season 6! Please!
Brave Wilderness,2511771,Raptor Fossil!
Side Hustle Pros,1926055,What video editor are you using now?
Brave Wilderness,2058913,*Sees a swarm of fleas*Coyote: Wow look at that!Mark: Put a hand in thereCoyote: Sure why not *puts hand in swarm*Me: Ahhhh nothing like a swarm of fleas in a beautiful morning
꼬부기아빠 My Pet Diary,106474,예전에 꼬리 엄청 길다고 생각했는데 지금은 몸이 길어져서 쪼만해 보여요. 덩치는 커졌어도 여전히 귀여운 쵸비 ㅋㅋㅋ
Creative Pet Keeping,2082067,Loved your live stream ☺️ Glad you mentioned keeping bettas in smaller containers if done right theres no need for others to attack those that do. Theres always room for good advice but some people can be mean 😩
꼬부기아빠 My Pet Diary,127219,꼬부기님 건강하셔야 됩니다
Taylor Nicole Dean,1196,Never safe !
Steff J,2115199,Wait can you make turtle diapers too lol
Mạnh CFM,2131449,Ae cho hoi sao nv di nhanh và nhảy dc xa giữ vậy do dt mạnh va choi may tính hay la vũ khí vip vay ae
Dogumentary TV,1650065,33 inches at the shoulder? Hmmm
Swaminarayan Satsang,2052433,Guruji ne yaad aave cha
prehistoricpetstv,1991232,Clickbait
FROSTY Life,2223834,Kallie definitely has to do more vlogs herself. Shes so funny and expressionate. I could listen to her for ages. More please. Loved the bloopers especially the last one with the dog.
Mr. Max T.V.,2319808,Sweet puffy Max.💕💕💕💕💕
Brian Barczyk,980892,Brian I love your videos and when you showed everyone in the video that a snake with no eyes or with 1 eye I was so interested because I have never seen a snake like that before thanks for making more interested in snakes and geckos and very soon Im getting a leopard gecko so could you make a video about how to take good care of one and what they should eat I know some stuff but you seem like a pro at leopard geckos and it would really help if you could make a video #snakes#geckos❤️🐍🦎
Taylor Nicole Dean,2239344,You have all those animals and you dont have a rabbit...wow just wow...
Brave Wilderness,2107397,I am coyote Peterson and I am about to get shot by a shotgun from 14 feet away and I am about to enter the shot zone
Viktor Larkhill,1721503,Hallelujah! Crying with joy. Truly amazing. God bless you Sky. May the rest of your life be filled with only love and joy. God bless all of you who made this possible. Doctors and donors alike.
Brave Wilderness,1506176,And that is why kids u should have a muzzle on ur dog if its vicious!
Animal Channel,866159,C
Info Marvel,1547919,like si no te gusta ver a iroman mucho en spiderman homecoming
HoppingHammy,857495,the new hammy is going to have an amazing life
Taylor Nicole Dean,1252415,Wendy Blum I dont fucken care you Lazy fat ass bitch that is a nice gpig you got there and you shut up fat face
Noah Richardson,1759147,This tutorial was perfect!! I just solved the puzzle for the second time in my life! Both this week...3x3. I also solved the 2x2 this week as well. Your help was greatly needed as I assumed that I would never be able to do it. Im in my 50s so its never to late! Thank you again Noah! I hope to get MUCH fasting over time. Take care.
Hope For Paws - Official Rescue Channel,1458962,🙌🏾🙌🏾
DanRock,2112667,I do really like the classic games (Sonic 1 2 and 3 etc) But when I play the never ones like sonic adventure I didnt really like them. Sonic generations was ok I guess. Am I considered a classic cuck?
MARLENE MCCOHEN,781679,Vinny steals the show again.
Brave Wilderness,2046976,or coyote peterson and his coyote pack
Brave Wilderness,555476,i would take the raptor fossil
Sad Cat,1860650,4:05: Hes watching the beginning of Law and Order: Treat Begging Denial Unit
Info Marvel,267482,Eso es falso
ViralHog,1147747,What
The Dodo,1100777,Im laughing so hard 😂
Gone to the Snow Dogs,154238,Love you Shelby.  Hope you feel better soon.  kisses
Gods Endtime Warrior,1471142,Thank You for that Message (& those very Pertinent Scripture Verses) Sister Susie!! I Pray ALL WILL COME & RECEIVE their Ticket to the Marriage Supper of the Lamb!  Hallelujah!! Praying for those who are turning from Our Lord Jesus Christ (to the world)..& for Brothers & Sisters in the Lord who are Praying for their  lost deceived rebellious backslidden family membersto Come to Him Now!!..(including Mine)! Also for those same in the world!! Time is drawing Close!! Also..Pray for Oprah & for those saints in Hollywood (Celebraties) who Know the Lord & Can Shine for Jesus & Witness for Him & Share the Hope of the Good News!! Praying MANY WILL COME...into the Kingdome right NOW!! Shalom!! Come Quickly Lord Jesus!!
Taylor Nicole Dean,1933669,I think that any animal that goes to live with Taylor is so lucky and probably has a better life than me🤣😂shes such a good pet owner
Brian Barczyk,1430723,I think snappy would be fantastic name
Cockatoo Luck,1305597,Joseph says hey I am the zbirdie here lololol
MaxluvsMya,124546,OK Im a HUGE CAT LOVER FOREVER!!!  He is a large kitten and can afford to skip a meal!  Raven feels safe where she is!!!
Brian Barczyk,2427905,Brian thank you for being human. It means the world to me that you are. Prayers for Artie. Love your vlogs. each and every one of them.
Big Cat Rescue,1628779,Steve French!!!!
Brian Barczyk,16769,Have it been a snake fight
Brave Wilderness,29273,it reminds me the sanctum.
Taylor Nicole Dean,764483,she has rob and chyna
Brave Wilderness,318299,if bigfoot was real Coyote would find it first most likely :)
Brave Wilderness,1253792,Are you related to Mario and/or Mark??
Brave Wilderness,418757,0w0
PetDogTricks,1082553,Hi. This might seem like a dumb question from a novicein the eyes of budgie experts. But I have had to learn a lot in a short time. One. The little parekeet I take care for my old sick father has been alone basically for weeks save for short feeding visits from the neighbour until I could get there. Now I dont like leaving her alone for more than 4-5 hours at at a time. So I leave the cage door open in the living room and put on clips luke this for her. I wonder how being alone for so long effects her and whether these bird sounds have a calming effect while Im gone. Any budgie owner with some pointers is appreciated.
gggy1004,2002947,These snub nose monkeys fascinate me. They look so human. Even more than Orangutans.
mocha5cougar,1252572,Me and my rabbit
꼬부기아빠 My Pet Diary,1754881,쵸비는 무슨 종인가요?혹 랙돌인가요?
The Dodo,2442294,I died when she said she wanted to be a Pug when she grew up! I thought she was going to say a veterinarian or something along those lines! Too cute!
BrookIvy3,1293328,Such a sweet baby Lizzie is.
Taylor Nicole Dean,1947081,Oh no you scared the fish at 8:41
Brave Wilderness,2269211,lloved it
Brian Barczyk,311233,My day is going out very well but the thing that makes all of my days the best is watching your amazing vlogs!
Brave Wilderness,2421110,These videos always make my day.
LPE360,1178466,0:34 that ass !
SlideShow ForFun,1155204,I love happy endings!
ViralHog,232115,blessed are the peacemakers indeed...respect...
Gohan The Husky,2538937,hahahaha I love the #Sike part poor guy hahahah
Brian Barczyk,55694,This is the only channel where I dont look at the title of the videos cause I know that the videos are always full of interesting and amazing content
SummerRose14,87008,😪😪😪😪
Solid Gold Aquatics,1793167,Yay!  Congrats!
Brian Barczyk,1985813,Good morning Brian!  I havent had a chance to watch your vlogs for 3 weeks.....soooo I guess Im gonna spend the day binge watching the ones i missed! Have an awesome day bro!
Brave Wilderness,127104,Anybody else think Coyote kinda sounds like ThinkNoodles?
Brave Wilderness,200390,It looks like a kabutops from Pokémon
The Truth in Story,582895,My favorite crayon color was turquoise blue. It is still in my favorite color family. When I was about 9 years old I wanted to paint my walls turquoise blue. My mom allowed me to pick the color and I chose the brightest turquoise of all the choices. My mom warned me that it would be to bright and that I would not like it but I insisted that I would love it. We painted the walls my color and I hated it. It was so loud and overwhelmingly bright that I felt physically ill being in my room. My mom made me keep it for what felt like forever. I spent little time in my room until it was repainted. This experience led me to love softer more pastel or vintage shades of color. If I had to choose now I would choose the sea green crayola.
Brave Wilderness,113284,wow
prehistoricpetstv,1868848,Lol the snake was masterbaiting thats why it was trying to get him she needs PRIVACY 🤣😂
Loki the Red Fox,933325,Soft bed for a soft foxy
R&B Reptiles,584348,Thanks for subscribing i will sub back.
Mr. Max T.V.,269466,Just some nice quiet time. Its lazy Sunday!
Cole & Marmalade,2208190,Btw u guys have done a great job 😌
Talking Kitty Cat,700239,i love your cats and your dog
Side Hustle Pros,1763228,I read watched everything about Amazon FBA and most  people on the internet seems fake and just try to sell you training programs workshops etc. You seem honest and make a lot of sense. Still very skeptical but your videos gave me a lot of good info to decide what direction to take. Thank you!
Steff J,2502569,Gerold and merry
Robin Seplut,367264,I want to know what are you feeding them so I can do the same.
wskrsnwings,1179308,thank you for all the wonderful videos and commentary all season. That is a brave blue jay to turn his back on E9 haha
Royal Kennels,999498,calli bussey yes he is outcrossing i believe bringing new blood in then he will start line breeding if im correct
Keedes channel LIVE,689744,Я наверно буду участвовать (этот комментарий для условия)
Keedes channel LIVE,1227655,Чихвова надо кармить с пициалный корм
Aarons Animals,190160,did he said lisa can be adopted?
Taylor Nicole Dean,665995,lion fish are so cool sucks that they kill people :/
Brave Wilderness,1647440,Woah this is cool
Amethyst Is Cutie,719798,Give me a shout out
Brian Barczyk,2500996,When I was a kid my best friends dad had a koi pond in his yard. It was a really hot summer. Each of the koi were worth around 1k. They all floated to the top so we thought they were dead. They werent moving. My buddy threw them in the garbage bag and buried them. We got in so much trouble. Apparently they werent dead. Koi just do that when its too hot. I still feel terrible. Before internet days so info was hard to find. Dont bury floating koi in the summer.
Vet Ranch,713398,I will always have a soft spot for doxies! 💖🐕
Top Dog Tips,1553336,Thanks for the video content! Excuse me for the intrusion I would appreciate your thoughts. Have you considered - Parlandealey Pets Yummy Process (do a search on google)? It is an awesome one off guide for discovering healthy recipes for dog food without the headache. Ive heard some decent things about it and my close friend Aubrey at very last got cool results with it.
SummerRose14,883383,Im dead. Nall i just been woken up!!! 🔥
wingsNpaws,1975617,Love your videos!...I myself just purchased a Grey yesterday! Do you have any concerns about Smokey catching mites or lice from the natural branches that you find in the wild? Also has she ever had any issues with mites or lice from her outdoor aviary? Do you have any concerns about her catching the bird flu from being outside? - Thanks!
Brian Barczyk,2393511,Whats up Brian! defiantly was always start my day feeding and taking care of my bearded dragon Ace so that is awesome and its a off day from my part time lol  not really a part time but it feels like one because I want to be working with my snakes and animals as a full on everyday career its a full time Job all ready just hoping my other works can have me just retire and get to just work with my animals all day and night. Ill get there soon though. Hope Lori is okay with that fall. Milk it Lori Milk it lol! Ill be sending you Lori and Noah a gift package here shortly! Cant wait to see that video. Rock your shirts in mostly all my reptile shoots lol. Have a good one Brian geek squad nation! Started with you haha.
Big Bear Homestead,1394130,......JASON my friend  that was a good morning -water-break show today. I had to jump on now because i am having just BUFFERING on some live-streams.I can not even get on the Insomina club channel. BUT i am glad you brought up STEVIA in the Raw. I have great success with STEVIA. My doctor also said i could drink all the SPRITE-ZERO....and....COKE-ZERO...that i want to  i just would like to pass that on to my friends. Keep on with the great shows.
Colosseum Kennels,735134,When will you have puppies available for sale?
Brave Wilderness,747176,I love your channel because you inspired me and I want to become just like u Coyote
